Ontology ID	label	parent class	occurs in
OPL:0000195	Schistosoma japonicum 24 hour schistosomulum stage	24 hour schistosomulum stage	Mammalia skin
OPL:0000063	Schistosoma mansoni 24 hour schistosomulum stage	24 hour schistosomulum stage	Mammalia skin
OPL:0000120	Schistosoma mansoni 3 hour schistosomulum stage	3 hour schistosomulum stage	Mammalia skin
OPL:0000024	Schistosoma japonicum daughter sporocyst stage	daughter sporocyst stage	Oncomelania hepatopancreas
OPL:0000058	Leishmania major procyclic promastigote stage	procyclic promastigote stage	Phlebotominae midgut
OPL:0000253	salivary gland-derived sporozoite stage	sporozoite stage	saliva-secreting gland
OPL:0000223	Trypanosoma cruzi epimastigote stage	epimastigote stage	Triatominae midgut
OPL:0000298	Plasmodium erythrocytic schizont stage	erythrocytic schizont stage	Vertebrate erythrocyte
OPL:0000304	Plasmodium erythrocytic trophozoite stage	erythrocytic trophozoite stage	Vertebrate erythrocyte
OPL:0000303	Plasmodium trophozoite stage	trophozoite stage	Vertebrate erythrocyte|Vertebrate hepatocyte
OPL:0000299	Plasmodium hepatic schizont stage	hepatic schizont stage	Vertebrate hepatocyte
OPL:0000306	Plasmodium hepatic trophozoite stage	hepatic trophozoite stage	Vertebrate hepatocyte
OPL:0000209	Leishmania major lifecycle stage	parasite lifecycle stage	
OPL:0000018	miracidium stage	parasite lifecycle stage	
OPL:0000026	microgamete stage	gamete stage	
OPL:0000036	merozoite stage	parasite lifecycle stage	
OPL:0000057	trophozoite stage	parasite lifecycle stage	
OPL:0000070	cercaria stage	parasite lifecycle stage	
OPL:0000073	oocyst stage	parasite lifecycle stage	
OPL:0000082	parasitic worm stage	parasite lifecycle stage	
OPL:0000084	schizont stage	parasite lifecycle stage	
OPL:0000085	macrogamete stage	gamete stage	
OPL:0000095	schistomulum stage	parasite lifecycle stage	
OPL:0000098	sporocyst stage	parasite lifecycle stage	
OPL:0000108	epimastigote stage	parasite lifecycle stage	
OPL:0000114	amastigote stage	parasite lifecycle stage	
OPL:0000152	sporozoite stage	parasite lifecycle stage	
OPL:0000153	ookinete stage	parasite lifecycle stage	
OPL:0000173	hypnozoite stage	parasite lifecycle stage	
OPL:0000181	parasite lifecycle stage	life cycle stage	
OPL:0000286	Plasmodium gamete stage	gamete stage	
OPL:0000289	Plasmodium gametocyte stage	gametocyte stage	
OPL:0000292	Plasmodium merozoite stage	merozoite stage	
OPL:0000293	Plasmodium erythrocytic merozoite stage	erythrocytic merozoite stage	
OPL:0000294	Plasmodium hepatic merozoite stage	hepatic merozoite stage	
OPL:0000297	Plasmodium schizont stage	schizont stage	
OPL:0000301	Plasmodium oocyst-derived sporozoite stage	oocyst-derived sporozoite stage	
OPL:0000302	Plasmodium salivary gland-derived sporozoite stage	salivary gland-derived sporozoite stage	
OPL:0000305	Plasmodium erythrocytic ring trophozoite stage	erythrocytic ring trophozoite stage	
OPL:0000042	Plasmodium falciparum erythrocytic ring trophozoite stage	erythrocytic ring trophozoite stage	
OPL:0000165	Plasmodium falciparum lifecycle stage	parasite lifecycle stage	
OPL:0000245	Plasmodium falciparum erythrocytic merozoite stage	erythrocytic merozoite stage	
OPL:0000246	Plasmodium falciparum hepatic merozoite stage	hepatic merozoite stage	
OPL:0000252	Plasmodium falciparum oocyst-derived sporozoite stage	oocyst-derived sporozoite stage	
OPL:0000254	Plasmodium falciparum salivary gland-derived sporozoite stage	salivary gland-derived sporozoite stage	
OPL:0000008	Schistosoma haematobium sporocyst stage	sporocyst stage	
OPL:0000069	Schistosoma haematobium miracidium stage	miracidium stage	
OPL:0000091	Schistosoma haematobium worm stage	parasitic worm stage	
OPL:0000101	Schistosoma haematobium cercaria stage	cercaria stage	
OPL:0000125	Schistosoma haematobium egg stage	egg stage	
