Ontology ID	label	logical type	parent class	in taxon	occurs in	has part	realizes
OPL:0000217	Schistosoma mansoni 7 week worm stage	equivalent	7 week parasitic worm stage	Schistosoma mansoni	Mammalia intestine|Mammalia mesenteric vein		
OPL:0000062	Schistosoma haematobium 3 day schistosomulum stage	equivalent	3 day schistosomulum stage	Schistosoma haematobium	Mammalia liver		
OPL:0000124	Schistosoma haematobium 6 day schistosomulum stage	equivalent	6 day schistosomulum stage	Schistosoma haematobium	Mammalia liver		
OPL:0000046	Schistosoma japonicum 6 day schistosomulum stage	equivalent	Schistosoma japonicum schistosomulum stage	Schistosoma japonicum	Mammalia lung		
OPL:0000159	Schistosoma japonicum 3 day schistosomulum stage	equivalent	3 day schistosomulum stage	Schistosoma japonicum	Mammalia lung		
OPL:0000014	Schistosoma mansoni 3 day schistosomulum stage	equivalent	3 day schistosomulum stage	Schistosoma mansoni	Mammalia lung		
OPL:0000045	Schistosoma mansoni 6 day schistosomulum stage	equivalent	6 day schistosomulum stage	Schistosoma mansoni	Mammalia lung		
OPL:0000157	Leishmania major amastigote stage	equivalent	amastigote stage	Leishmania major	Mammalia macrophage		
OPL:0000064	Trypanosoma cruzi amastigote stage	equivalent	amastigote stage	Trypanosoma cruzi	Mammalia macrophage		
OPL:0000189	Leishmania major promastigote stage	equivalent	promastigote stage	Leishmania major	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis		
OPL:0000102	Leishmania major metacyclic promastigote stage	equivalent	metacyclic promastigote stage	Leishmania major	Mammalia macrophage|Phlebotominae proboscis		
OPL:0000107	Schistosoma mansoni 3 week worm stage	equivalent	3 week parasitic worm stage	Schistosoma mansoni	Mammalia mesenteric vein		
OPL:0000074	Schistosoma haematobium 3 hour schistosomulum stage	equivalent	3 hour schistosomulum stage	Schistosoma haematobium	Mammalia skin		
OPL:0000129	Schistosoma haematobium 24 hour schistosomulum stage	equivalent	24 hour schistosomulum stage	Schistosoma haematobium	Mammalia skin		
OPL:0000193	Schistosoma japonicum 3 hour schistosomulum stage	equivalent	3 hour schistosomulum stage	Schistosoma japonicum	Mammalia skin		
OPL:0000195	Schistosoma japonicum 24 hour schistosomulum stage	equivalent	24 hour schistosomulum stage	Schistosoma japonicum	Mammalia skin		
OPL:0000063	Schistosoma mansoni 24 hour schistosomulum stage	equivalent	24 hour schistosomulum stage	Schistosoma mansoni	Mammalia skin		
OPL:0000120	Schistosoma mansoni 3 hour schistosomulum stage	equivalent	3 hour schistosomulum stage	Schistosoma mansoni	Mammalia skin		
OPL:0000024	Schistosoma japonicum daughter sporocyst stage	equivalent	daughter sporocyst stage	Schistosoma japonicum	Oncomelania hepatopancreas		
OPL:0000058	Leishmania major procyclic promastigote stage	equivalent	procyclic promastigote stage	Leishmania major	Phlebotominae midgut		
OPL:0000253	salivary gland-derived sporozoite stage	subclass	sporozoite stage		saliva-secreting gland		
OPL:0000223	Trypanosoma cruzi epimastigote stage	equivalent	epimastigote stage	Trypanosoma cruzi	Triatominae midgut		
OPL:0000298	Plasmodium erythrocytic schizont stage	equivalent	erythrocytic schizont stage	Plasmodium	Vertebrate erythrocyte		
OPL:0000304	Plasmodium erythrocytic trophozoite stage	equivalent	erythrocytic trophozoite stage	Plasmodium	Vertebrate erythrocyte		
OPL:0000303	Plasmodium trophozoite stage	equivalent	trophozoite stage	Plasmodium	Vertebrate erythrocyte|Vertebrate hepatocyte		
OPL:0000299	Plasmodium hepatic schizont stage	equivalent	hepatic schizont stage	Plasmodium	Vertebrate hepatocyte		
OPL:0000306	Plasmodium hepatic trophozoite stage	equivalent	hepatic trophozoite stage	Plasmodium	Vertebrate hepatocyte		
OPL:0000209	Leishmania major lifecycle stage	equivalent	parasite lifecycle stage	Leishmania major			
OPL:0000018	miracidium stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000026	microgamete stage	subclass	gamete stage	parasite organism			
OPL:0000036	merozoite stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000057	trophozoite stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000070	cercaria stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000073	oocyst stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000082	parasitic worm stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000084	schizont stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000085	macrogamete stage	subclass	gamete stage	parasite organism			
OPL:0000095	schistomulum stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000098	sporocyst stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000108	epimastigote stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000114	amastigote stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000152	sporozoite stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000153	ookinete stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000173	hypnozoite stage	subclass	parasite lifecycle stage	parasite organism			
OPL:0000181	parasite lifecycle stage	equivalent	life cycle stage	parasite organism			
OPL:0000286	Plasmodium gamete stage	equivalent	gamete stage	Plasmodium			
OPL:0000289	Plasmodium gametocyte stage	equivalent	gametocyte stage	Plasmodium			
OPL:0000292	Plasmodium merozoite stage	equivalent	merozoite stage	Plasmodium			
OPL:0000293	Plasmodium erythrocytic merozoite stage	equivalent	erythrocytic merozoite stage	Plasmodium			
OPL:0000294	Plasmodium hepatic merozoite stage	equivalent	hepatic merozoite stage	Plasmodium			
OPL:0000297	Plasmodium schizont stage	equivalent	schizont stage	Plasmodium			
OPL:0000301	Plasmodium oocyst-derived sporozoite stage	equivalent	oocyst-derived sporozoite stage	Plasmodium			
OPL:0000302	Plasmodium salivary gland-derived sporozoite stage	equivalent	salivary gland-derived sporozoite stage	Plasmodium			
OPL:0000305	Plasmodium erythrocytic ring trophozoite stage	equivalent	erythrocytic ring trophozoite stage	Plasmodium			
OPL:0000042	Plasmodium falciparum erythrocytic ring trophozoite stage	equivalent	erythrocytic ring trophozoite stage	Plasmodium falciparum			
OPL:0000165	Plasmodium falciparum lifecycle stage	equivalent	parasite lifecycle stage	Plasmodium falciparum			
OPL:0000245	Plasmodium falciparum erythrocytic merozoite stage	equivalent	erythrocytic merozoite stage	Plasmodium falciparum			
OPL:0000246	Plasmodium falciparum hepatic merozoite stage	equivalent	hepatic merozoite stage	Plasmodium falciparum			
OPL:0000252	Plasmodium falciparum oocyst-derived sporozoite stage	equivalent	oocyst-derived sporozoite stage	Plasmodium falciparum			
OPL:0000254	Plasmodium falciparum salivary gland-derived sporozoite stage	equivalent	salivary gland-derived sporozoite stage	Plasmodium falciparum			
OPL:0000008	Schistosoma haematobium sporocyst stage	equivalent	sporocyst stage	Schistosoma haematobium			
OPL:0000069	Schistosoma haematobium miracidium stage	equivalent	miracidium stage	Schistosoma haematobium			
OPL:0000091	Schistosoma haematobium worm stage	equivalent	parasitic worm stage	Schistosoma haematobium			
OPL:0000101	Schistosoma haematobium cercaria stage	equivalent	cercaria stage	Schistosoma haematobium			
OPL:0000125	Schistosoma haematobium egg stage	equivalent	egg stage	Schistosoma haematobium			
OPL:0000177	Schistosoma haematobium lifecycle stage	equivalent	parasite lifecycle stage	Schistosoma haematobium			
OPL:0000197	Schistosoma haematobium schistosomulum stage	equivalent	schistomulum stage	Schistosoma haematobium			
OPL:0000212	Schistosoma haematobium mother sporocyst stage	equivalent	mother sporocyst stage	Schistosoma haematobium			
OPL:0000228	Schistosoma haematobium adult male worm stage	equivalent	adult male parasitic worm stage	Schistosoma haematobium			
OPL:0000234	Schistosoma haematobium adult female worm stage	equivalent	adult female parasitic worm stage	Schistosoma haematobium			
OPL:0000308	Schistosoma haematobium adult worm stage	equivalent	adult parasitic worm stage	Schistosoma haematobium			
OPL:0000009	Schistosoma japonicum cercaria stage	equivalent	cercaria stage	Schistosoma japonicum			
OPL:0000023	Schistosoma japonicum miracidium stage	equivalent	miracidium stage	Schistosoma japonicum			
