ID,LABEL,alternative term,Type,SubClass Of,Equivalent Class,occurs in,located in,participates in,has part,only in taxon,realizes,part of,has role,has host,has vector,definition,definition source,example of usage,term editor,term tracker item,ontology term requester,comment,editor note
OPL:0000053,Schistosoma japonicum 3 week worm,S. japonicum 3 week worm,Class,'located in' some 'Homo sapiens mesenteric vein'|'participates in' only 'Schistosoma japonicum 3 week worm stage'|Schistosoma japonicum worm,,,Homo sapiens mesenteric vein,Schistosoma japonicum 3 week worm stage,,,,,,,,"A Schistosoma japonicum worm is capable of sexual reproduction, which is found in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammal host 3 weeks after infection of the human host.",,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000055,obsolete_has vector,,Object property,,,,,,,,,,,,,A relation between an organism and an organism that has vector role.,,,,,,,
OPL:0000056,Trypanosoma brucei metacyclic trypomastigote stage,T. brucei metacyclic trypomastigote stage,Class,'occurs in' some 'Glossina salivary gland'|'occurs in' some 'Mammalia blood','metacyclic trypomastigote stage' and ('only in taxon' some 'Trypanosoma brucei'),Glossina salivary gland|Mammalia blood,,,,Trypanosoma brucei,,,,,,A metacyclic trypomastigote stage in the lifecycle of Trypanosoma brucei that occurs either in vertebrate host bloodstream or in salivary glands of an insect vector.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000057,trophozoite stage,,Class,'only in taxon' some 'parasite organism'|parasite lifecycle stage,,,,,,parasite organism,,,,,,"A parasite lifecycle stage of some protozoan parasites that is a non-reproductive, feeding and growing stage.",http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarT.htm,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000058,Leishmania major procyclic promastigote stage,L. major procyclic promastigote stage,Class,'occurs in' some 'Phlebotominae midgut','procyclic promastigote stage' and ('only in taxon' some 'Leishmania major'),Phlebotominae midgut,,,,Leishmania major,,,,,,A procyclic promastigote stage in the Leishmania major lifecycle.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000059,hepatic schizont stage,,Class,schizont stage,,,,,,,,,,,,A schizont stage that occurs in hepatocyte where sporozoites mature into a schizont.,PMID:11006474,,Chris Stoeckert|Jie Zheng|Matt Berriman and Priti Parikh,,,,
OPL:0000060,Plasmodium falciparum schizont,P. falciparum schizont,Class,'located in' some 'Homo sapiens erythrocyte'|'located in' some 'Homo sapiens hepatocyte'|'participates in' only 'Plasmodium falciparum schizont stage'|Plasmodium falciparum,,,Homo sapiens erythrocyte|Homo sapiens hepatocyte,Plasmodium falciparum schizont stage,,,,,,,,"A Plasmodium falciparum divides through schizogony. Depending on its location, it is either called hepatic or erythrocytic schizont. The schizont is a dividing stage with 2 or more nuclei.",,,C. Janse|Chris Stoeckert|Jie Zheng|P. Parkh|S. Khan,,,,
OPL:0000061,Trypanosoma cruzi amastigote,T. cruzi amastigote,Class,'located in' some 'Mammalia macrophage'|'participates in' only 'Trypanosoma cruzi amastigote stage'|Trypanosoma cruzi,,,Mammalia macrophage,Trypanosoma cruzi amastigote stage,,,,,,,,A Trypanosoma cruzi that is the intracellular dividing form in the cytoplasm of mammalian cells. It is a round/oval-shaped cell with no protruding flagellum.,http://dna.kdna.ucla.edu/parasite_course-old/cruzi_files/intro.htm,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000062,Schistosoma haematobium 3 day schistosomulum stage,S. haematobium 3 day schistosomulum stage,Class,'occurs in' some 'Mammalia liver','3 day schistosomulum stage' and ('only in taxon' some 'Schistosoma haematobium'),Mammalia liver,,,,Schistosoma haematobium,,,,,,A 3 days schistosomulum stage of Schistosoma haematobium occurs in the definitive host 3 days post-infection.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000063,Schistosoma mansoni 24 hour schistosomulum stage,S. mansoni 24 hour schistosomulum stage,Class,'occurs in' some 'Mammalia skin','24 hour schistosomulum stage' and ('only in taxon' some 'Schistosoma mansoni'),Mammalia skin,,,,Schistosoma mansoni,,,,,,A 24 hours schistosomulum stage of Schistosoma mansoni that occurs in the definitive host 24 hours post-infection.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
